id	date	protocol	attack_type	gt_factors	tx_hash
defihacklabs-onyxdao-2024-09-26	2024-09-26	OnyxDAO	flash-loan	f_fl,f_orc,f_auth	0x46567c731c4f4f7e27c4ce591f0aebdeb2d9ae1038237a0134de7b13e63d8729
defihacklabs-firetoken-2024-10-01	2024-10-01	FireToken	token	f_fl,f_swap	0xd20b3b31a682322eb0698ecd67a6d8a040ccea653ba429ec73e3584fa176ff2b
defihacklabs-sashatoken-2024-10-06	2024-10-06	SASHAToken	oracle	unknown	0xd9fdc7d03eec28fc2453c5fa68eff82d4c297f436a6a5470c54ca3aecd2db17e
defihacklabs-morphoblue-2024-10-13	2024-10-13	MorphoBlue	oracle	unknown	0x256979ae169abb7fbbbbc14188742f4b9debf48b48ad5b5207cadcc99ccb493b
defihacklabs-erc20transfer-2024-10-22	2024-10-22	Erc20transfer	governance/access	unknown	0x7f2540af4a1f7b0172a46f5539ebf943dd5418422e4faa8150d3ae5337e92172
defihacklabs-bubai-2024-10-29	2024-10-29	BUBAI	rug-pull	unknown	0x1b4730e715286862042def956d5aaa6a53203ee02b97ea913de73fa462e48f90
defihacklabs-chisale-2024-11-07	2024-11-07	ChiSale	accounting	unknown	0x586a2a4368a1a45489a8a9b4273509b524b672c33e6c544d2682771b44f05e87
defihacklabs-cow-2024-11-07	2024-11-07	CoW	governance/access	unknown	0x2fc9f2fd393db2273abb9b0451f9a4830aa2ebd5490d453f1a06a8e9e5edc4f9
defihacklabs-vrug-2024-11-07	2024-11-07	VRug	rug-pull	unknown	0x5e151627dc06ec4f2db5be2f48248f320ad3450aba42b1bbd00131bcbaa4f0ae
defihacklabs-veth-2024-11-14	2024-11-14	vETH	token	f_fl,f_swap,f_auth	0x1ae40f26819da4f10bc7c894a2cc507cdb31c29635d31fa90c8f3f240f0327c0
defihacklabs-mainnetsettler-2024-11-20	2024-11-20	MainnetSettler	governance/access	unknown	0xfab5912f858b3768b7b7d312abcc02b64af7b1e1b62c4f29a2c1a2d1568e9fa2
defihacklabs-lauratoken-2025-01-01	2025-01-01	LAURAToken	token	f_swap	0xef34f4fdf03e403e3c94e96539354fb4fe0b79a5ec927eacc63bc04108dbf420
defihacklabs-unilend-2025-01-12	2025-01-12	Unilend	accounting	unknown	0x44037ffc0993327176975e08789b71c1058318f48ddeff25890a577d6555b6ba
defihacklabs-idolsnft-2025-01-14	2025-01-14	IdolsNFT	accounting	unknown	0x5e989304b1fb61ea0652db4d0f9476b8882f27191c1f1d2841f8977cb8c5284c
defihacklabs-mcai-2025-01-28	2025-01-28	MCAI	token	f_auth,f_swap	0xfbe3bc868d555ef617bb1c32d1d8d5ec8b825bf2b4795dd99b47b321f36f3c21
